call_site	compose_style	compose_name	auto_mirrored	material_symbols_name	glyph_file	resolution	codepoint	auto_mirror_flag_in_code	svg_variant	upstream_svg_url
Filled/FileDownload	Filled	FileDownload	false	file_download	file_download	direct	f090	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/file_download/materialsymbolsrounded/file_download_fill1_24px.svg
Filled/Fingerprint	Filled	Fingerprint	false	fingerprint	fingerprint	direct	e90d	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/fingerprint/materialsymbolsrounded/fingerprint_fill1_24px.svg
Filled/Info	Filled	Info	false	info	info	direct	e88e	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/info/materialsymbolsrounded/info_fill1_24px.svg
Filled/Key	Filled	Key	false	key	key	direct	e73c	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/key/materialsymbolsrounded/key_fill1_24px.svg
Filled/KeyboardArrowRight	Filled	KeyboardArrowRight	false	keyboard_arrow_right	keyboard_arrow_right	direct	e315	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/keyboard_arrow_right/materialsymbolsrounded/keyboard_arrow_right_fill1_24px.svg
Filled/Lock	Filled	Lock	false	lock	lock	direct	e899	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/lock/materialsymbolsrounded/lock_fill1_24px.svg
Filled/LockOpen	Filled	LockOpen	false	lock_open	lock_open	direct	e898	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/lock_open/materialsymbolsrounded/lock_open_fill1_24px.svg
Filled/RestartAlt	Filled	RestartAlt	false	restart_alt	restart_alt	direct	f053	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/restart_alt/materialsymbolsrounded/restart_alt_fill1_24px.svg
Filled/SdCardAlert	Filled	SdCardAlert	false	sd_card_alert	sd_card_alert	direct	f057	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/sd_card_alert/materialsymbolsrounded/sd_card_alert_fill1_24px.svg
Filled/Security	Filled	Security	false	security	security	direct	e32a	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/security/materialsymbolsrounded/security_fill1_24px.svg
Filled/Settings	Filled	Settings	false	settings	settings	direct	e8b8	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/settings/materialsymbolsrounded/settings_fill1_24px.svg
Filled/Subscriptions	Filled	Subscriptions	false	subscriptions	subscriptions	direct	e064	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/subscriptions/materialsymbolsrounded/subscriptions_fill1_24px.svg
Filled/Subtitles	Filled	Subtitles	false	subtitles	subtitles	direct	e048	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/subtitles/materialsymbolsrounded/subtitles_fill1_24px.svg
Filled/Terminal	Filled	Terminal	false	terminal	terminal	direct	eb8e	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/terminal/materialsymbolsrounded/terminal_fill1_24px.svg
Filled/Timer	Filled	Timer	false	timer	timer	direct	e425	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/timer/materialsymbolsrounded/timer_fill1_24px.svg
Filled/VideoLibrary	Filled	VideoLibrary	false	video_library	video_library	direct	e04a	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/video_library/materialsymbolsrounded/video_library_fill1_24px.svg
Filled/Warning	Filled	Warning	false	warning	warning	direct	f083	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/warning/materialsymbolsrounded/warning_fill1_24px.svg
Outlined/AccountBalance	Outlined	AccountBalance	false	account_balance	account_balance	direct	e84f	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/account_balance/materialsymbolsrounded/account_balance_24px.svg
Outlined/AccountBalanceWallet	Outlined	AccountBalanceWallet	false	account_balance_wallet	account_balance_wallet	direct	e850	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/account_balance_wallet/materialsymbolsrounded/account_balance_wallet_24px.svg
Outlined/Add	Outlined	Add	false	add	add	direct	e145	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/add/materialsymbolsrounded/add_24px.svg
Outlined/AddLink	Outlined	AddLink	false	add_link	add_link	direct	e178	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/add_link/materialsymbolsrounded/add_link_24px.svg
Outlined/Archive	Outlined	Archive	false	archive	archive	direct	e149	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/archive/materialsymbolsrounded/archive_24px.svg
Outlined/ArrowForward	Outlined	ArrowForward	false	arrow_forward	arrow_forward	direct	e5c8	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/arrow_forward/materialsymbolsrounded/arrow_forward_24px.svg
Outlined/ArtTrack	Outlined	ArtTrack	false	art_track	art_track	direct	e060	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/art_track/materialsymbolsrounded/art_track_24px.svg
Outlined/AssignmentReturn	Outlined	AssignmentReturn	false	assignment_return	assignment_return	direct	e860	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/assignment_return/materialsymbolsrounded/assignment_return_24px.svg
Outlined/AttachMoney	Outlined	AttachMoney	false	attach_money	attach_money	direct	e227	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/attach_money/materialsymbolsrounded/attach_money_24px.svg
Outlined/AudioFile	Outlined	AudioFile	false	audio_file	audio_file	direct	eb82	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/audio_file/materialsymbolsrounded/audio_file_24px.svg
Outlined/AutoAwesome	Outlined	AutoAwesome	false	auto_awesome	auto_awesome	direct	e65f	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/auto_awesome/materialsymbolsrounded/auto_awesome_24px.svg
Outlined/BarChart	Outlined	BarChart	false	bar_chart	bar_chart	direct	e26b	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bar_chart/materialsymbolsrounded/bar_chart_24px.svg
Outlined/BatteryChargingFull	Outlined	BatteryChargingFull	false	battery_charging_full	battery_charging_full	direct	e1a3	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/battery_charging_full/materialsymbolsrounded/battery_charging_full_24px.svg
Outlined/Bolt	Outlined	Bolt	false	bolt	bolt	direct	ea0b	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bolt/materialsymbolsrounded/bolt_24px.svg
Outlined/Bookmark	Outlined	Bookmark	false	bookmark	bookmark	direct	e8e7	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bookmark/materialsymbolsrounded/bookmark_24px.svg
Outlined/BookmarkAdd	Outlined	BookmarkAdd	false	bookmark_add	bookmark_add	direct	e598	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bookmark_add/materialsymbolsrounded/bookmark_add_24px.svg
Outlined/BookmarkAdded	Outlined	BookmarkAdded	false	bookmark_added	bookmark_added	direct	e599	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bookmark_added/materialsymbolsrounded/bookmark_added_24px.svg
Outlined/BrokenImage	Outlined	BrokenImage	false	broken_image	broken_image	direct	e3ad	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/broken_image/materialsymbolsrounded/broken_image_24px.svg
Outlined/BugReport	Outlined	BugReport	false	bug_report	bug_report	direct	e868	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bug_report/materialsymbolsrounded/bug_report_24px.svg
Outlined/Build	Outlined	Build	false	build	build	direct	f8cd	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/build/materialsymbolsrounded/build_24px.svg
Outlined/CalendarMonth	Outlined	CalendarMonth	false	calendar_month	calendar_month	direct	ebcc	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/calendar_month/materialsymbolsrounded/calendar_month_24px.svg
Outlined/CalendarToday	Outlined	CalendarToday	false	calendar_today	calendar_today	direct	e935	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/calendar_today/materialsymbolsrounded/calendar_today_24px.svg
Outlined/Cancel	Outlined	Cancel	false	cancel	cancel	direct	e888	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/cancel/materialsymbolsrounded/cancel_24px.svg
Outlined/Chat	Outlined	Chat	false	chat	chat	direct	e0c9	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/chat/materialsymbolsrounded/chat_24px.svg
Outlined/Check	Outlined	Check	false	check	check	direct	e668	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/check/materialsymbolsrounded/check_24px.svg
Outlined/CheckCircle	Outlined	CheckCircle	false	check_circle	check_circle	direct	f0be	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/check_circle/materialsymbolsrounded/check_circle_24px.svg
Outlined/Circle	Outlined	Circle	false	circle	circle	direct	ef4a	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/circle/materialsymbolsrounded/circle_24px.svg
Outlined/Clear	Outlined	Clear	false	clear	close	alias->close	e5cd	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/close/materialsymbolsrounded/close_24px.svg
Outlined/Close	Outlined	Close	false	close	close	direct	e5cd	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/close/materialsymbolsrounded/close_24px.svg
Outlined/ClosedCaption	Outlined	ClosedCaption	false	closed_caption	closed_caption	direct	e996	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/closed_caption/materialsymbolsrounded/closed_caption_24px.svg
Outlined/CloudDownload	Outlined	CloudDownload	false	cloud_download	cloud_download	direct	e2c0	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/cloud_download/materialsymbolsrounded/cloud_download_24px.svg
Outlined/Code	Outlined	Code	false	code	code	direct	e86f	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/code/materialsymbolsrounded/code_24px.svg
Outlined/Colorize	Outlined	Colorize	false	colorize	colorize	direct	e3b8	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/colorize/materialsymbolsrounded/colorize_24px.svg
Outlined/ContentCopy	Outlined	ContentCopy	false	content_copy	content_copy	direct	e14d	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/content_copy/materialsymbolsrounded/content_copy_24px.svg
Outlined/ContentCut	Outlined	ContentCut	false	content_cut	content_cut	direct	e14e	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/content_cut/materialsymbolsrounded/content_cut_24px.svg
Outlined/ContentPaste	Outlined	ContentPaste	false	content_paste	content_paste	direct	e14f	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/content_paste/materialsymbolsrounded/content_paste_24px.svg
Outlined/ContentPasteGo	Outlined	ContentPasteGo	false	content_paste_go	content_paste_go	direct	ea8e	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/content_paste_go/materialsymbolsrounded/content_paste_go_24px.svg
Outlined/Contrast	Outlined	Contrast	false	contrast	contrast	direct	eb37	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/contrast/materialsymbolsrounded/contrast_24px.svg
Outlined/Cookie	Outlined	Cookie	false	cookie	cookie	direct	eaac	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/cookie/materialsymbolsrounded/cookie_24px.svg
Outlined/Crop	Outlined	Crop	false	crop	crop	direct	e3be	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/crop/materialsymbolsrounded/crop_24px.svg
Outlined/DarkMode	Outlined	DarkMode	false	dark_mode	dark_mode	direct	e51c	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/dark_mode/materialsymbolsrounded/dark_mode_24px.svg
Outlined/Delete	Outlined	Delete	false	delete	delete	direct	e92e	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/delete/materialsymbolsrounded/delete_24px.svg
Outlined/DeleteForever	Outlined	DeleteForever	false	delete_forever	delete_forever	direct	e92b	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/delete_forever/materialsymbolsrounded/delete_forever_24px.svg
Outlined/DeleteSweep	Outlined	DeleteSweep	false	delete_sweep	delete_sweep	direct	e16c	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/delete_sweep/materialsymbolsrounded/delete_sweep_24px.svg
Outlined/Description	Outlined	Description	false	description	description	direct	e873	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/description/materialsymbolsrounded/description_24px.svg
Outlined/DoneAll	Outlined	DoneAll	false	done_all	done_all	direct	e877	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/done_all/materialsymbolsrounded/done_all_24px.svg
Outlined/Download	Outlined	Download	false	download	download	direct	f090	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/download/materialsymbolsrounded/download_24px.svg
Outlined/DownloadDone	Outlined	DownloadDone	false	download_done	download_done	direct	f091	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/download_done/materialsymbolsrounded/download_done_24px.svg
Outlined/Downloading	Outlined	Downloading	false	downloading	downloading	direct	f001	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/downloading/materialsymbolsrounded/downloading_24px.svg
Outlined/DriveFileRenameOutline	Outlined	DriveFileRenameOutline	false	drive_file_rename_outline	drive_file_rename_outline	direct	e9a2	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/drive_file_rename_outline/materialsymbolsrounded/drive_file_rename_outline_24px.svg
Outlined/Edit	Outlined	Edit	false	edit	edit	direct	f097	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/edit/materialsymbolsrounded/edit_24px.svg
Outlined/EditNote	Outlined	EditNote	false	edit_note	edit_note	direct	e745	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/edit_note/materialsymbolsrounded/edit_note_24px.svg
Outlined/Error	Outlined	Error	false	error	error	direct	f8b6	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/error/materialsymbolsrounded/error_24px.svg
Outlined/ErrorOutline	Outlined	ErrorOutline	false	error_outline	error	alias->error	f8b6	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/error/materialsymbolsrounded/error_24px.svg
Outlined/ExitToApp	Outlined	ExitToApp	false	exit_to_app	exit_to_app	direct	e879	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/exit_to_app/materialsymbolsrounded/exit_to_app_24px.svg
Outlined/ExpandMore	Outlined	ExpandMore	false	expand_more	expand_more	direct	e5cf	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/expand_more/materialsymbolsrounded/expand_more_24px.svg
Outlined/Favorite	Outlined	Favorite	false	favorite	favorite	direct	e87e	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/favorite/materialsymbolsrounded/favorite_24px.svg
Outlined/FileCopy	Outlined	FileCopy	false	file_copy	file_copy	direct	e173	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/file_copy/materialsymbolsrounded/file_copy_24px.svg
Outlined/FileDownload	Outlined	FileDownload	false	file_download	file_download	direct	f090	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/file_download/materialsymbolsrounded/file_download_24px.svg
Outlined/Folder	Outlined	Folder	false	folder	folder	direct	e2c7	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/folder/materialsymbolsrounded/folder_24px.svg
Outlined/FolderDelete	Outlined	FolderDelete	false	folder_delete	folder_delete	direct	eb34	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/folder_delete/materialsymbolsrounded/folder_delete_24px.svg
Outlined/FolderOpen	Outlined	FolderOpen	false	folder_open	folder_open	direct	e2c8	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/folder_open/materialsymbolsrounded/folder_open_24px.svg
Outlined/FolderSpecial	Outlined	FolderSpecial	false	folder_special	folder_special	direct	e617	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/folder_special/materialsymbolsrounded/folder_special_24px.svg
Outlined/Gavel	Outlined	Gavel	false	gavel	gavel	direct	e90e	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/gavel/materialsymbolsrounded/gavel_24px.svg
Outlined/GeneratingTokens	Outlined	GeneratingTokens	false	generating_tokens	generating_tokens	direct	e749	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/generating_tokens/materialsymbolsrounded/generating_tokens_24px.svg
Outlined/GridView	Outlined	GridView	false	grid_view	grid_view	direct	e9b0	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/grid_view/materialsymbolsrounded/grid_view_24px.svg
Outlined/Group	Outlined	Group	false	group	group	direct	ea21	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/group/materialsymbolsrounded/group_24px.svg
Outlined/Hd	Outlined	Hd	false	hd	hd	direct	e052	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/hd/materialsymbolsrounded/hd_24px.svg
Outlined/HelpOutline	Outlined	HelpOutline	false	help_outline	help	alias->help	e8fd	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/help/materialsymbolsrounded/help_24px.svg
Outlined/HighQuality	Outlined	HighQuality	false	high_quality	high_quality	direct	e024	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/high_quality/materialsymbolsrounded/high_quality_24px.svg
Outlined/History	Outlined	History	false	history	history	direct	e8b3	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/history/materialsymbolsrounded/history_24px.svg
Outlined/HistoryToggleOff	Outlined	HistoryToggleOff	false	history_toggle_off	history_toggle_off	direct	f17d	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/history_toggle_off/materialsymbolsrounded/history_toggle_off_24px.svg
Outlined/House	Outlined	House	false	house	house	direct	ea44	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/house/materialsymbolsrounded/house_24px.svg
Outlined/Icon	Outlined	Icon	false	icon	-	NOT_A_CALL_SITE (KDoc example)	-	false	24px	-
Outlined/Image	Outlined	Image	false	image	image	direct	e3f4	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/image/materialsymbolsrounded/image_24px.svg
Outlined/Info	Outlined	Info	false	info	info	direct	e88e	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/info/materialsymbolsrounded/info_24px.svg
Outlined/Language	Outlined	Language	false	language	language	direct	ea07	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/language/materialsymbolsrounded/language_24px.svg
Outlined/LibraryMusic	Outlined	LibraryMusic	false	library_music	library_music	direct	e030	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/library_music/materialsymbolsrounded/library_music_24px.svg
Outlined/LightMode	Outlined	LightMode	false	light_mode	light_mode	direct	e518	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/light_mode/materialsymbolsrounded/light_mode_24px.svg
Outlined/Link	Outlined	Link	false	link	link	direct	e250	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/link/materialsymbolsrounded/link_24px.svg
Outlined/LocalFireDepartment	Outlined	LocalFireDepartment	false	local_fire_department	local_fire_department	direct	ef55	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/local_fire_department/materialsymbolsrounded/local_fire_department_24px.svg
Outlined/Lock	Outlined	Lock	false	lock	lock	direct	e899	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/lock/materialsymbolsrounded/lock_24px.svg
Outlined/Menu	Outlined	Menu	false	menu	menu	direct	e5d2	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/menu/materialsymbolsrounded/menu_24px.svg
Outlined/MonetizationOn	Outlined	MonetizationOn	false	monetization_on	monetization_on	direct	e263	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/monetization_on/materialsymbolsrounded/monetization_on_24px.svg
Outlined/MoneyOff	Outlined	MoneyOff	false	money_off	money_off	direct	f038	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/money_off/materialsymbolsrounded/money_off_24px.svg
Outlined/MoreVert	Outlined	MoreVert	false	more_vert	more_vert	direct	e5d4	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/more_vert/materialsymbolsrounded/more_vert_24px.svg
Outlined/Movie	Outlined	Movie	false	movie	movie	direct	e404	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/movie/materialsymbolsrounded/movie_24px.svg
Outlined/MusicNote	Outlined	MusicNote	false	music_note	music_note	direct	e405	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/music_note/materialsymbolsrounded/music_note_24px.svg
Outlined/NewLabel	Outlined	NewLabel	false	new_label	new_label	direct	e609	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/new_label/materialsymbolsrounded/new_label_24px.svg
Outlined/NewReleases	Outlined	NewReleases	false	new_releases	new_releases	direct	ef76	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/new_releases/materialsymbolsrounded/new_releases_24px.svg
