call_site	compose_style	compose_name	auto_mirrored	material_symbols_name	glyph_file	resolution	codepoint	auto_mirror_flag_in_code	svg_variant	upstream_svg_url
Outlined/Subscriptions	Outlined	Subscriptions	false	subscriptions	subscriptions	direct	e064	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/subscriptions/materialsymbolsrounded/subscriptions_24px.svg
Outlined/Subtitles	Outlined	Subtitles	false	subtitles	subtitles	direct	e048	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/subtitles/materialsymbolsrounded/subtitles_24px.svg
Outlined/Sync	Outlined	Sync	false	sync	sync	direct	e627	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/sync/materialsymbolsrounded/sync_24px.svg
Outlined/SyncAlt	Outlined	SyncAlt	false	sync_alt	sync_alt	direct	ea18	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/sync_alt/materialsymbolsrounded/sync_alt_24px.svg
Outlined/TabUnselected	Outlined	TabUnselected	false	tab_unselected	tab_unselected	direct	e8d9	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/tab_unselected/materialsymbolsrounded/tab_unselected_24px.svg
Outlined/Terminal	Outlined	Terminal	false	terminal	terminal	direct	eb8e	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/terminal/materialsymbolsrounded/terminal_24px.svg
Outlined/ThumbUp	Outlined	ThumbUp	false	thumb_up	thumb_up	direct	f577	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/thumb_up/materialsymbolsrounded/thumb_up_24px.svg
Outlined/Timer	Outlined	Timer	false	timer	timer	direct	e425	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/timer/materialsymbolsrounded/timer_24px.svg
Outlined/TipsAndUpdates	Outlined	TipsAndUpdates	false	tips_and_updates	tips_and_updates	direct	e79a	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/tips_and_updates/materialsymbolsrounded/tips_and_updates_24px.svg
Outlined/Title	Outlined	Title	false	title	title	direct	e264	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/title/materialsymbolsrounded/title_24px.svg
